Start Order,Run Order,Packing,Gap,Flip,Sort,Problem Set
324,1,bottom lower,no,none,increasing height,3
319,2,bottom lower,no,length,decreasing length,8
58,3,bottom left,no,length,decreasing height,7
401,4,bottom lower,yes,length,increasing height,0
218,5,bottom left,yes,none,decreasing height,7
49,6,bottom left,no,length,increasing height,8
302,7,bottom lower,no,length,increasing length,1
299,8,bottom lower,no,length,decreasing height,8
16,9,bottom left,no,height,decreasing height,5
292,10,bottom lower,no,length,decreasing height,1
34,11,bottom left,no,height,decreasing length,3
309,12,bottom lower,no,length,increasing length,8
303,13,bottom lower,no,length,increasing length,2
170,14,bottom left,yes,length,increasing height,9
127,15,bottom left,yes,height,increasing height,6
229,16,bottom left,yes,none,increasing length,8
5,17,bottom left,no,height,increasing height,4
372,18,bottom lower,yes,height,decreasing height,1
322,19,bottom lower,no,none,increasing height,1
233,20,bottom left,yes,none,decreasing length,2
387,21,bottom lower,yes,height,increasing length,6
343,22,bottom lower,no,none,increasing length,2
130,23,bottom left,yes,height,increasing height,9
285,24,bottom lower,no,length,increasing height,4
101,25,bottom left,no,none,increasing length,0
431,26,bottom lower,yes,length,decreasing length,0
252,27,bottom lower,no,height,decreasing height,1
388,28,bottom lower,yes,height,increasing length,7
323,29,bottom lower,no,none,increasing height,2
194,30,bottom left,yes,length,decreasing length,3
282,31,bottom lower,no,length,increasing height,1
251,32,bottom lower,no,height,decreasing height,0
411,33,bottom lower,yes,length,decreasing height,0
439,34,bottom lower,yes,length,decreasing length,8
385,35,bottom lower,yes,height,increasing length,4
139,36,bottom left,yes,height,decreasing height,8
325,37,bottom lower,no,none,increasing height,4
142,38,bottom left,yes,height,increasing length,1
210,39,bottom left,yes,none,increasing height,9
211,40,bottom left,yes,none,decreasing height,0
426,41,bottom lower,yes,length,increasing length,5
425,42,bottom lower,yes,length,increasing length,4
57,43,bottom left,no,length,decreasing height,6
149,44,bottom left,yes,height,increasing length,8
51,45,bottom left,no,length,decreasing height,0
29,46,bottom left,no,height,increasing length,8
284,47,bottom lower,no,length,increasing height,3
93,48,bottom left,no,none,decreasing height,2
259,49,bottom lower,no,height,decreasing height,8
245,50,bottom lower,no,height,increasing height,4
268,51,bottom lower,no,height,increasing length,7
88,52,bottom left,no,none,increasing height,7
147,53,bottom left,yes,height,increasing length,6
315,54,bottom lower,no,length,decreasing length,4
48,55,bottom left,no,length,increasing height,7
405,56,bottom lower,yes,length,increasing height,4
422,57,bottom lower,yes,length,increasing length,1
146,58,bottom left,yes,height,increasing length,5
25,59,bottom left,no,height,increasing length,4
279,60,bottom lower,no,height,decreasing length,8
243,61,bottom lower,no,height,increasing height,2
369,62,bottom lower,yes,height,increasing height,8
429,63,bottom lower,yes,length,increasing length,8
432,64,bottom lower,yes,length,decreasing length,1
310,65,bottom lower,no,length,increasing length,9
77,66,bottom left,no,length,decreasing length,6
311,67,bottom lower,no,length,decreasing length,0
305,68,bottom lower,no,length,increasing length,4
296,69,bottom lower,no,length,decreasing height,5
392,70,bottom lower,yes,height,decreasing length,1
272,71,bottom lower,no,height,decreasing length,1
